,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,type,fuel,transmission
991,Yamaha FZ 16,75000,2017,Individual,1st owner,18000,82000.0,Two Wheeler,Petrol,NaN
992,Bajaj Avenger 220,75000,2019,Individual,1st owner,3500,95000.0,Two Wheeler,Petrol,NaN
993,Bajaj Avenger 220,72000,2018,Individual,1st owner,500,95000.0,Two Wheeler,Petrol,NaN
994,TVS Apache RTR 160,65000,2019,Individual,1st owner,11800,81000.0,Two Wheeler,Petrol,NaN
995,Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000.0,Two Wheeler,Petrol,NaN
996,Honda CBR 150,65000,2016,Individual,1st owner,23500,120000.0,Two Wheeler,Petrol,NaN
997,Hero Extreme,65000,2015,Individual,1st owner,16000,78700.0,Two Wheeler,Petrol,NaN
998,Honda CB Hornet 160R,60000,2018,Individual,1st owner,15000,87000.0,Two Wheeler,Petrol,NaN
999,Bajaj Avenger 220 dtsi,60000,2017,Individual,1st owner,16600,95000.0,Two Wheeler,Petrol,NaN
1000,Honda CBR 150,60000,2015,Individual,1st owner,32000,120000.0,Two Wheeler,Petrol,NaN
1001,Bajaj Avenger 150 street,60000,2018,Individual,1st owner,20000,80000.0,Two Wheeler,Petrol,NaN
1002,Yamaha FZ  v 2.0,60000,2017,Individual,1st owner,29000,84000.0,Two Wheeler,Petrol,NaN
1003,Yamaha FZ  v 2.0,60000,2018,Individual,1st owner,25000,84000.0,Two Wheeler,Petrol,NaN
1004,Bajaj Pulsar  NS 200,60000,2016,Individual,1st owner,25000,99000.0,Two Wheeler,Petrol,NaN
1005,TVS Apache RTR 160,60000,2014,Individual,1st owner,19000,81000.0,Two Wheeler,Petrol,NaN
1006,Hero Extreme,55000,2016,Individual,1st owner,15000,78700.0,Two Wheeler,Petrol,NaN
1007,Yamaha FZ S V 2.0,55000,2017,Individual,1st owner,58000,84000.0,Two Wheeler,Petrol,NaN
1008,Bajaj Pulsar 220 F,52000,2012,Individual,1st owner,45000,94000.0,Two Wheeler,Petrol,NaN
1009,Bajaj Pulsar 220 F,51000,2018,Individual,1st owner,24000,94000.0,Two Wheeler,Petrol,NaN
1010,TVS Apache RTR 180,50000,2013,Individual,1st owner,6000,82600.0,Two Wheeler,Petrol,NaN
1011,Hero Passion X pro,50000,2018,Individual,1st owner,31000,55000.0,Two Wheeler,Petrol,NaN
1012,Bajaj Pulsar NS 200,50000,2014,Individual,1st owner,13000,99000.0,Two Wheeler,Petrol,NaN
1013,Bajaj Pulsar NS 200,50000,2015,Individual,1st owner,45000,99000.0,Two Wheeler,Petrol,NaN
1014,Yamaha Fazer ,50000,2016,Individual,1st owner,8000,88000.0,Two Wheeler,Petrol,NaN
1015,Honda Activa 4G,48000,2019,Individual,1st owner,4300,51000.0,Two Wheeler,Petrol,NaN
1016,TVS Sport ,48000,2019,Individual,1st owner,15000,52000.0,Two Wheeler,Petrol,NaN
1017,Yamaha FZ S V 2.0,48000,2017,Individual,1st owner,23000,84000.0,Two Wheeler,Petrol,NaN
1018,Honda Dream Yuga ,48000,2019,Individual,1st owner,8600,54000.0,Two Wheeler,Petrol,NaN
1019,Honda Activa 4G,45000,2019,Individual,1st owner,4000,51000.0,Two Wheeler,Petrol,NaN
1020,Bajaj Avenger Street 220,45000,2013,Individual,1st owner,24000,95000.0,Two Wheeler,Petrol,NaN
1021,TVS Apache RTR 180,45000,2016,Individual,1st owner,23000,82600.0,Two Wheeler,Petrol,NaN
1022,Bajaj Pulsar NS 200,45000,2014,Individual,1st owner,14500,99000.0,Two Wheeler,Petrol,NaN
1023,Bajaj Avenger 220 dtsi,45000,2012,Individual,1st owner,27000,95000.0,Two Wheeler,Petrol,NaN
1024,Hero Splender iSmart,45000,2018,Individual,1st owner,14000,54000.0,Two Wheeler,Petrol,NaN
1025,Activa 3g,45000,2018,Individual,1st owner,500,54000.0,Two Wheeler,Petrol,NaN
1026,Hero Passion Pro,45000,2018,Individual,1st owner,1000,55000.0,Two Wheeler,Petrol,NaN
1027,TVS Apache RTR 160,42000,2016,Individual,1st owner,42000,81000.0,Two Wheeler,Petrol,NaN
1028,Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000.0,Two Wheeler,Petrol,NaN
1029,Hero Splender iSmart,40000,2017,Individual,1st owner,14000,54000.0,Two Wheeler,Petrol,NaN
1030,Yamaha FZ S ,40000,2014,Individual,1st owner,5500,83000.0,Two Wheeler,Petrol,NaN
1031,Hero Passion Pro,40000,2017,Individual,1st owner,6700,55000.0,Two Wheeler,Petrol,NaN
1032,Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000.0,Two Wheeler,Petrol,NaN
1033,Activa 4g,40000,2019,Individual,1st owner,1300,51000.0,Two Wheeler,Petrol,NaN
1034,Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000.0,Two Wheeler,Petrol,NaN
1035,Hero Honda CBZ extreme,38000,2013,Individual,1st owner,75000,78700.0,Two Wheeler,Petrol,NaN
1036,Honda Karizma,35000,2013,Individual,1st owner,30000,105000.0,Two Wheeler,Petrol,NaN
1037,Honda Activa 125,35000,2018,Individual,1st owner,24000,57000.0,Two Wheeler,Petrol,NaN
1038,TVS Jupyter,35000,2016,Individual,1st owner,19000,52000.0,Two Wheeler,Petrol,NaN
1039,Honda Karizma,31000,2012,Individual,1st owner,213000,105000.0,Two Wheeler,Petrol,NaN
1040,Hero Honda Passion Pro,30000,2014,Individual,1st owner,60000,51000.0,Two Wheeler,Petrol,NaN
1041,Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000.0,Two Wheeler,Petrol,NaN
1042,Honda CB Shine,30000,2015,Individual,1st owner,30000,58000.0,Two Wheeler,Petrol,NaN
1043,Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000.0,Two Wheeler,Petrol,NaN
1044,Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000.0,Two Wheeler,Petrol,NaN
1045,Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000.0,Two Wheeler,Petrol,NaN
1046,TVS Wego,25000,2012,Individual,1st owner,22000,52000.0,Two Wheeler,Petrol,NaN
1047,Honda CB twister,25000,2015,Individual,1st owner,32000,51000.0,Two Wheeler,Petrol,NaN
1048,Hero Glamour,25000,2015,Individual,1st owner,18000,57000.0,Two Wheeler,Petrol,NaN
1049,Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000.0,Two Wheeler,Petrol,NaN
1050,Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000.0,Two Wheeler,Petrol,NaN
1051,Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000.0,Two Wheeler,Petrol,NaN
1052,Hero Hunk,20000,2009,Individual,2nd owner,49000,75000.0,Two Wheeler,Petrol,NaN
1053,Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000.0,Two Wheeler,Petrol,NaN
1054,Hero  CBZ Xtreme,20000,2010,Individual,1st owner,50000,78700.0,Two Wheeler,Petrol,NaN
1055,Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000.0,Two Wheeler,Petrol,NaN
1056,Activa 3g,17000,2010,Individual,1st owner,500000,52000.0,Two Wheeler,Petrol,NaN
1057,Honda CB twister,16000,2012,Individual,1st owner,33000,51000.0,Two Wheeler,Petrol,NaN
1058,Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000.0,Two Wheeler,Petrol,NaN
1059,Honda CB Shine,12000,2009,Individual,1st owner,53000,58000.0,Two Wheeler,Petrol,NaN
1060,Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000.0,Two Wheeler,Petrol,NaN
0,Maruti 800 AC,60000,2007,Individual,First Owner,70000,NaN,Four Wheeler,Petrol,Manual
1,Maruti Wagon R LXI Minor,135000,2007,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Manual
2,Hyundai Verna 1.6 SX,600000,2012,Individual,First Owner,100000,NaN,Four Wheeler,Diesel,Manual
3,Datsun RediGO T Option,250000,2017,Individual,First Owner,46000,NaN,Four Wheeler,Petrol,Manual
4,Honda Amaze VX i-DTEC,450000,2014,Individual,Second Owner,141000,NaN,Four Wheeler,Diesel,Manual
5,Maruti Alto LX BSIII,140000,2007,Individual,First Owner,125000,NaN,Four Wheeler,Petrol,Manual
6,Hyundai Xcent 1.2 Kappa S,550000,2016,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
7,Tata Indigo Grand Petrol,240000,2014,Individual,Second Owner,60000,NaN,Four Wheeler,Petrol,Manual
8,Hyundai Creta 1.6 VTVT S,850000,2015,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
9,Maruti Celerio Green VXI,365000,2017,Individual,First Owner,78000,NaN,Four Wheeler,CNG,Manual
10,Chevrolet Sail 1.2 Base,260000,2015,Individual,First Owner,35000,NaN,Four Wheeler,Petrol,Manual
11,Tata Indigo Grand Petrol,250000,2014,Individual,First Owner,100000,NaN,Four Wheeler,Petrol,Manual
12,Toyota Corolla Altis 1.8 VL CVT,1650000,2018,Dealer,First Owner,25000,NaN,Four Wheeler,Petrol,Automatic
13,Maruti 800 AC,60000,2007,Individual,First Owner,70000,NaN,Four Wheeler,Petrol,Manual
14,Maruti Wagon R LXI Minor,135000,2007,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Manual
15,Hyundai Verna 1.6 SX,600000,2012,Individual,First Owner,100000,NaN,Four Wheeler,Diesel,Manual
16,Datsun RediGO T Option,250000,2017,Individual,First Owner,46000,NaN,Four Wheeler,Petrol,Manual
17,Honda Amaze VX i-DTEC,450000,2014,Individual,Second Owner,141000,NaN,Four Wheeler,Diesel,Manual
18,Maruti Alto LX BSIII,140000,2007,Individual,First Owner,125000,NaN,Four Wheeler,Petrol,Manual
19,Hyundai Xcent 1.2 Kappa S,550000,2016,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
20,Tata Indigo Grand Petrol,240000,2014,Individual,Second Owner,60000,NaN,Four Wheeler,Petrol,Manual
21,Hyundai Creta 1.6 VTVT S,850000,2015,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
22,Maruti Celerio Green VXI,365000,2017,Individual,First Owner,78000,NaN,Four Wheeler,CNG,Manual
23,Chevrolet Sail 1.2 Base,260000,2015,Individual,First Owner,35000,NaN,Four Wheeler,Petrol,Manual
24,Tata Indigo Grand Petrol,250000,2014,Individual,First Owner,100000,NaN,Four Wheeler,Petrol,Manual
25,Toyota Corolla Altis 1.8 VL CVT,1650000,2018,Dealer,First Owner,25000,NaN,Four Wheeler,Petrol,Automatic
26,Maruti Ciaz VXi Plus,585000,2015,Dealer,First Owner,24000,NaN,Four Wheeler,Petrol,Manual
27,Hyundai Venue SX Opt Diesel,1195000,2019,Dealer,First Owner,5000,NaN,Four Wheeler,Diesel,Manual
28,Chevrolet Enjoy TCDi LTZ 7 Seater,390000,2013,Individual,Second Owner,33000,NaN,Four Wheeler,Diesel,Manual
29,Jaguar XF 2.2 Litre Luxury,1964999,2014,Dealer,First Owner,28000,NaN,Four Wheeler,Diesel,Automatic
30,Mercedes-Benz New C-Class 220 CDI AT,1425000,2013,Dealer,First Owner,59000,NaN,Four Wheeler,Diesel,Automatic
31,Maruti Vitara Brezza ZDi Plus AMT,975000,2018,Dealer,First Owner,4500,NaN,Four Wheeler,Diesel,Automatic
32,Audi Q5 2.0 TDI,1190000,2011,Dealer,First Owner,175900,NaN,Four Wheeler,Diesel,Automatic
33,Honda City V MT,930000,2018,Dealer,First Owner,14500,NaN,Four Wheeler,Petrol,Manual
34,Tata Tigor 1.2 Revotron XT,525000,2018,Individual,First Owner,15000,NaN,Four Wheeler,Petrol,Manual
35,Audi A6 2.0 TDI  Design Edition,1735000,2013,Dealer,First Owner,50000,NaN,Four Wheeler,Diesel,Automatic
36,Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,2012,Dealer,Second Owner,33800,NaN,Four Wheeler,Diesel,Automatic
37,Skoda Superb Ambition 2.0 TDI CR AT,450000,2011,Dealer,Second Owner,130400,NaN,Four Wheeler,Diesel,Automatic
38,Toyota Corolla Altis G AT,900000,2016,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Automatic
39,Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,2015,Individual,First Owner,80000,NaN,Four Wheeler,Diesel,Manual
40,Jeep Compass 1.4 Sport Plus BSIV,1400000,2019,Individual,First Owner,10000,NaN,Four Wheeler,Petrol,Manual
41,Mercedes-Benz E-Class E 200 CGI Elegance,850000,2010,Dealer,First Owner,119000,NaN,Four Wheeler,Petrol,Automatic
42,Hyundai i10 Magna 1.1L,229999,2014,Individual,Fourth & Above Owner,60000,NaN,Four Wheeler,Petrol,Manual
43,BMW 3 Series 320d Sport Line,1550000,2013,Dealer,Second Owner,75800,NaN,Four Wheeler,Diesel,Automatic
44,Audi Q7 35 TDI Quattro Premium,1250000,2009,Dealer,Third Owner,78000,NaN,Four Wheeler,Diesel,Automatic
45,Hyundai Elantra CRDi S,625000,2012,Individual,First Owner,40000,NaN,Four Wheeler,Diesel,Manual
46,Mahindra Scorpio 1.99 S10,1050000,2014,Individual,First Owner,50000,NaN,Four Wheeler,Diesel,Manual
47,Honda City i DTEC V,560000,2014,Individual,Second Owner,74000,NaN,Four Wheeler,Diesel,Manual
48,Maruti Wagon R VXI BS IV with ABS,290000,2014,Individual,Second Owner,64000,NaN,Four Wheeler,Petrol,Manual
49,Maruti Wagon R VXI BS IV,275000,2012,Individual,Second Owner,60000,NaN,Four Wheeler,Petrol,Manual
50,Mahindra Scorpio LX,411000,2009,Individual,Second Owner,120000,NaN,Four Wheeler,Diesel,Manual
51,Hyundai Santro Xing GLS,150000,2009,Individual,Third Owner,79000,NaN,Four Wheeler,Petrol,Manual
52,Hyundai Grand i10 1.2 Kappa Asta,500000,2019,Individual,First Owner,15000,NaN,Four Wheeler,Petrol,Manual
53,Maruti Alto LXi,100000,2006,Individual,First Owner,80000,NaN,Four Wheeler,Petrol,Manual
54,Maruti Swift Dzire VDI Optional,725000,2017,Dealer,First Owner,18500,NaN,Four Wheeler,Diesel,Manual
55,Maruti Eeco 5 Seater AC BSIV,401000,2018,Dealer,First Owner,10200,NaN,Four Wheeler,Petrol,Manual
56,Hyundai i20 Sportz 1.4 CRDi,750000,2018,Dealer,First Owner,29000,NaN,Four Wheeler,Diesel,Manual
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000,2018,Dealer,First Owner,28000,NaN,Four Wheeler,Petrol,Manual
58,Maruti Swift ZDi BSIV,665000,2016,Dealer,First Owner,46000,NaN,Four Wheeler,Diesel,Manual
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,2014,Dealer,First Owner,70000,NaN,Four Wheeler,Diesel,Manual
60,Maruti Alto LXi,160000,2012,Individual,Second Owner,60000,NaN,Four Wheeler,Petrol,Manual
61,Mahindra Jeep CL 500 MDI,250000,1996,Individual,Second Owner,35000,NaN,Four Wheeler,Diesel,Manual
62,Honda City i DTEC VX,675000,2014,Dealer,First Owner,90000,NaN,Four Wheeler,Diesel,Manual
63,Maruti Wagon R VXI BS IV,300000,2013,Dealer,First Owner,80000,NaN,Four Wheeler,Petrol,Manual
64,Tata Indica DLS,70000,2005,Individual,First Owner,80000,NaN,Four Wheeler,Diesel,Manual
65,Hyundai EON Magna Plus,240000,2014,Dealer,Second Owner,73300,NaN,Four Wheeler,Petrol,Manual
66,Toyota Etios GD,525000,2014,Dealer,First Owner,92000,NaN,Four Wheeler,Diesel,Manual
67,Maruti Alto LXi,151000,2009,Dealer,Second Owner,66764,NaN,Four Wheeler,Petrol,Manual
68,Maruti Alto LXi,140000,2009,Individual,First Owner,100000,NaN,Four Wheeler,Petrol,Manual
69,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,2010,Individual,Second Owner,350000,NaN,Four Wheeler,Diesel,Manual
70,Toyota Corolla Altis Diesel D4DG,350000,2011,Individual,First Owner,230000,NaN,Four Wheeler,Diesel,Manual
71,Mahindra Scorpio 1.99 S6 Plus,570000,2017,Individual,First Owner,60000,NaN,Four Wheeler,Diesel,Manual
72,Hyundai EON Magna Plus,300000,2018,Individual,First Owner,31000,NaN,Four Wheeler,Petrol,Manual
73,Tata Indigo Classic Dicor,100000,2007,Individual,First Owner,39000,NaN,Four Wheeler,Diesel,Manual
74,Toyota Innova 2.5 V Diesel 8-seater,500000,2009,Individual,Third Owner,120000,NaN,Four Wheeler,Diesel,Manual
75,Tata Indica Vista Quadrajet LS,125000,2014,Individual,Fourth & Above Owner,166000,NaN,Four Wheeler,Diesel,Manual
76,Maruti Swift 1.3 VXi,130000,2006,Individual,Third Owner,110000,NaN,Four Wheeler,Petrol,Manual
77,Ford EcoSport 1.5 Diesel Titanium BSIV,925000,2017,Individual,First Owner,35000,NaN,Four Wheeler,Diesel,Manual
78,Maruti Ciaz 1.3 Delta,750000,2018,Individual,First Owner,60000,NaN,Four Wheeler,Diesel,Manual
79,Honda Civic 1.8 V AT,200000,2007,Individual,Second Owner,54000,NaN,Four Wheeler,Petrol,Automatic
80,Hyundai i10 Sportz 1.2,248000,2010,Individual,Second Owner,63000,NaN,Four Wheeler,Petrol,Manual
81,Skoda Rapid 1.5 TDI Elegance,450000,2014,Individual,Second Owner,120000,NaN,Four Wheeler,Diesel,Manual
82,Hyundai Getz GLS,80000,2005,Individual,Third Owner,120000,NaN,Four Wheeler,Petrol,Manual
83,Nissan Terrano XL,650000,2014,Individual,Second Owner,76000,NaN,Four Wheeler,Petrol,Manual
84,Hyundai Grand i10 CRDi Sportz,450000,2015,Individual,First Owner,80000,NaN,Four Wheeler,Diesel,Manual
85,Hyundai Elite i20 Diesel Era,650000,2019,Individual,First Owner,25000,NaN,Four Wheeler,Diesel,Manual
86,Honda Amaze S i-VTEC,495000,2016,Dealer,First Owner,11958,NaN,Four Wheeler,Petrol,Manual
87,Honda Brio S MT,371000,2015,Dealer,First Owner,20000,NaN,Four Wheeler,Petrol,Manual
88,Hyundai Creta 1.6 SX Option,1025000,2017,Dealer,First Owner,9000,NaN,Four Wheeler,Petrol,Manual
89,Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,2017,Dealer,First Owner,6500,NaN,Four Wheeler,Diesel,Automatic
90,Mahindra XUV500 W8 2WD,750000,2015,Individual,First Owner,70000,NaN,Four Wheeler,Diesel,Manual
91,Renault Duster 85PS Diesel RxL Optional,600000,2013,Individual,First Owner,120000,NaN,Four Wheeler,Diesel,Manual
92,Hyundai Santro Xing XO,80000,2007,Dealer,Second Owner,58000,NaN,Four Wheeler,Petrol,Manual
93,Mahindra Bolero 2011-2019 SLE,325000,2013,Dealer,First Owner,62200,NaN,Four Wheeler,Diesel,Manual
94,Audi A6 2.0 TDI Premium Plus,1470000,2014,Dealer,Second Owner,34000,NaN,Four Wheeler,Diesel,Automatic
95,Fiat Avventura MULTIJET Emotion,350000,2015,Individual,Second Owner,53000,NaN,Four Wheeler,Diesel,Manual
96,Audi A8 4.2 TDI,2800000,2013,Dealer,First Owner,49000,NaN,Four Wheeler,Diesel,Automatic
97,Datsun RediGO 1.0 S,210000,2017,Dealer,Second Owner,15000,NaN,Four Wheeler,Petrol,Manual
98,Volkswagen Jetta 1.4 TSI Comfortline,450000,2013,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Manual
99,Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,2013,Dealer,First Owner,53000,NaN,Four Wheeler,Diesel,Automatic
100,Honda Civic 1.8 V AT,210000,2009,Dealer,First Owner,63500,NaN,Four Wheeler,Petrol,Automatic
101,Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,2018,Dealer,First Owner,9800,NaN,Four Wheeler,Petrol,Automatic
102,BMW X1 sDrive 20d xLine,2750000,2017,Individual,First Owner,13000,NaN,Four Wheeler,Diesel,Automatic
103,Volvo V40 D3 R Design,1975000,2018,Dealer,First Owner,21000,NaN,Four Wheeler,Diesel,Automatic
104,Maruti SX4 Zxi BSIII,175000,2008,Dealer,First Owner,29173,NaN,Four Wheeler,Petrol,Manual
105,BMW 7 Series 730Ld,2500000,2012,Dealer,First Owner,48000,NaN,Four Wheeler,Diesel,Automatic
106,Mahindra Bolero Power Plus SLX,628000,2017,Individual,First Owner,120000,NaN,Four Wheeler,Diesel,Manual
107,Hyundai Sonata CRDi M/T,600000,2010,Individual,First Owner,100000,NaN,Four Wheeler,Diesel,Manual
108,Nissan Micra Active XV Petrol,399000,2017,Individual,First Owner,30000,NaN,Four Wheeler,Petrol,Manual
109,Mahindra Xylo D4,750000,2018,Individual,First Owner,87000,NaN,Four Wheeler,Diesel,Manual
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,2019,Individual,First Owner,15000,NaN,Four Wheeler,Petrol,Manual
111,Renault KWID RXT,315000,2017,Individual,First Owner,16000,NaN,Four Wheeler,Petrol,Manual
112,Mahindra Xylo E4 BS III,600000,2012,Individual,First Owner,60000,NaN,Four Wheeler,Diesel,Manual
113,Maruti Wagon R LXI Minor,100000,2010,Individual,Fourth & Above Owner,60000,NaN,Four Wheeler,Petrol,Manual
114,Maruti SX4 ZXI MT BSIV,250000,2011,Individual,Third Owner,110000,NaN,Four Wheeler,Petrol,Manual
115,Renault KWID RXT,350000,2017,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
116,Hyundai Creta 1.4 CRDi S,780000,2016,Individual,First Owner,60000,NaN,Four Wheeler,Diesel,Manual
117,Maruti Swift Dzire VDI,434000,2014,Individual,Second Owner,79350,NaN,Four Wheeler,Diesel,Manual
118,Hyundai Verna 1.6 VTVT AT S Option,690000,2016,Individual,First Owner,80000,NaN,Four Wheeler,Petrol,Automatic
119,Mahindra Scorpio LX BSIV,555000,2014,Individual,Second Owner,90000,NaN,Four Wheeler,Diesel,Manual
120,Maruti SX4 Vxi BSIII,120000,2007,Individual,Second Owner,90000,NaN,Four Wheeler,Petrol,Manual
121,Maruti Ertiga VDI,500000,2014,Individual,Second Owner,120000,NaN,Four Wheeler,Diesel,Manual
122,Chevrolet Beat Diesel,165000,2013,Individual,Second Owner,60000,NaN,Four Wheeler,Diesel,Manual
123,Maruti Zen LX,95000,2004,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Manual
124,Maruti Baleno Delta 1.2,550000,2018,Individual,First Owner,20000,NaN,Four Wheeler,Petrol,Manual
125,Maruti Swift Vdi BSIII,100000,2007,Individual,Fourth & Above Owner,110000,NaN,Four Wheeler,Diesel,Manual
126,Tata Nano Lx BSIV,100000,2012,Individual,Second Owner,50000,NaN,Four Wheeler,Petrol,Manual
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,2012,Individual,First Owner,100000,NaN,Four Wheeler,Diesel,Manual
128,Maruti Ertiga SHVS VDI,800000,2016,Individual,Second Owner,70000,NaN,Four Wheeler,Diesel,Manual
129,Hyundai Creta 1.6 CRDi SX,840000,2016,Individual,Second Owner,70000,NaN,Four Wheeler,Diesel,Manual
130,Honda Amaze S i-Vtech,490000,2016,Individual,First Owner,50000,NaN,Four Wheeler,Petrol,Manual
131,Tata Indica Vista Aqua 1.4 TDI,125000,2010,Individual,Second Owner,81000,NaN,Four Wheeler,Diesel,Manual
132,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,2012,Individual,Third Owner,120000,NaN,Four Wheeler,Diesel,Manual
133,Chevrolet Cruze LTZ,1000000,2015,Dealer,First Owner,3600,NaN,Four Wheeler,Diesel,Manual
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,2015,Dealer,First Owner,14272,NaN,Four Wheeler,Petrol,Manual
135,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,2017,Dealer,First Owner,49213,NaN,Four Wheeler,Diesel,Manual
136,Hyundai i10 Sportz 1.1L,229999,2015,Individual,First Owner,40000,NaN,Four Wheeler,Petrol,Manual
137,Maruti 800 Std,40000,1998,Individual,Fourth & Above Owner,40000,NaN,Four Wheeler,Petrol,Manual
138,Chevrolet Spark 1.0 LS,130000,2012,Individual,First Owner,80000,NaN,Four Wheeler,Petrol,Manual
139,Hyundai EON Era Plus,200000,2015,Individual,First Owner,70000,NaN,Four Wheeler,Petrol,Manual
140,Tata Indica Vista Aqua TDI BSIII,120000,2011,Individual,First Owner,70000,NaN,Four Wheeler,Diesel,Manual
141,Hyundai Santro LP zipPlus,75000,2003,Individual,First Owner,57000,NaN,Four Wheeler,Petrol,Manual
142,Tata Bolt Quadrajet XE,250000,2016,Individual,First Owner,120000,NaN,Four Wheeler,Diesel,Manual
143,Maruti 800 AC BSIII,100000,2005,Individual,First Owner,30000,NaN,Four Wheeler,Petrol,Manual
144,Hyundai EON Era Plus,280000,2013,Individual,Second Owner,3240,NaN,Four Wheeler,Petrol,Manual
145,Hyundai i20 Magna 1.2,540000,2015,Individual,First Owner,5000,NaN,Four Wheeler,Petrol,Manual
146,Hyundai i20 1.2 Asta,700000,2018,Individual,First Owner,10000,NaN,Four Wheeler,Petrol,Manual
147,Maruti Ciaz VDi Plus,525000,2015,Individual,First Owner,100000,NaN,Four Wheeler,Diesel,Manual
148,Hyundai i20 Asta 1.4 CRDi,430000,2016,Individual,First Owner,80000,NaN,Four Wheeler,Diesel,Manual
149,Hyundai Santro LE,65000,2002,Individual,First Owner,70000,NaN,Four Wheeler,Petrol,Manual
150,Maruti Vitara Brezza VDi,800000,2018,Individual,First Owner,35000,NaN,Four Wheeler,Diesel,Manual
151,Hyundai Santro Xing XL eRLX Euro III,75000,2007,Individual,Second Owner,114000,NaN,Four Wheeler,Petrol,Manual
152,Hyundai Getz 1.3 GLS,210000,2008,Individual,First Owner,53772,NaN,Four Wheeler,Petrol,Manual
153,Mahindra Quanto C8,195000,2012,Individual,Second Owner,140000,NaN,Four Wheeler,Diesel,Manual
154,Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,2015,Individual,First Owner,120000,NaN,Four Wheeler,Diesel,Manual
155,Hyundai EON Magna Plus,170000,2012,Individual,First Owner,60000,NaN,Four Wheeler,Petrol,Manual
156,Renault KWID RXT,225000,2016,Individual,First Owner,25000,NaN,Four Wheeler,Petrol,Manual
157,Maruti Wagon R DUO LPG,210000,2014,Individual,First Owner,90000,NaN,Four Wheeler,LPG,Manual
158,Maruti Wagon R LXI,240000,2020,Individual,First Owner,120000,NaN,Four Wheeler,Petrol,Manual
159,Chevrolet Enjoy 1.3 TCDi LS 8,300000,2015,Individual,First Owner,175000,NaN,Four Wheeler,Diesel,Manual
160,Chevrolet Spark 1.0 LS,99000,2011,Individual,Third Owner,100000,NaN,Four Wheeler,Petrol,Manual
161,Honda City i VTEC SV,620000,2014,Individual,First Owner,36000,NaN,Four Wheeler,Petrol,Manual
162,Honda Amaze VX i-DTEC,500000,2013,Individual,First Owner,30000,NaN,Four Wheeler,Diesel,Manual
163,Jaguar XJ 5.0 L V8 Supercharged,2550000,2010,Individual,Second Owner,40000,NaN,Four Wheeler,Petrol,Automatic
164,Honda Brio E MT,260000,2013,Individual,Second Owner,70000,NaN,Four Wheeler,Petrol,Manual
165,Maruti Swift VVT ZXI,550000,2017,Individual,First Owner,60000,NaN,Four Wheeler,Petrol,Manual
166,Tata Indigo CR4,150000,2011,Individual,First Owner,155500,NaN,Four Wheeler,Diesel,Manual
167,Hyundai i10 Asta AT,350000,2011,Individual,Second Owner,50000,NaN,Four Wheeler,Petrol,Automatic
168,Chevrolet Beat LT,320000,2016,Individual,First Owner,40000,NaN,Four Wheeler,Petrol,Manual
169,Maruti Swift VDI BSIV,400000,2015,Individual,Third Owner,100000,NaN,Four Wheeler,Diesel,Manual
170,Maruti Alto LXi,175000,2012,Individual,Third Owner,80000,NaN,Four Wheeler,Petrol,Manual
